lat_grid,lon_grid_abs,time_windows,avg_crimes
41.74,87.73,723,1.2987551867219918
41.88,87.71,1891,3.781068217874141
41.89,87.75,1885,3.986737400530504
41.8,87.67,1703,2.5455079271873164
41.75,87.55,1814,3.1626240352811466
41.89,87.62,1983,8.277357539082198
41.79,87.67,1752,2.7414383561643834
41.78,87.65,1871,3.6376269374665955
41.72,87.66,1589,2.4594084329767147
41.72,87.58,1254,1.736842105263158
41.74,87.71,820,1.3378048780487806
41.67,87.64,1384,1.888728323699422
41.86,87.67,1447,1.9709744298548721
41.85,87.73,1729,2.7958357432041643
41.74,87.58,1458,1.9526748971193415
41.83,87.69,904,1.3960176991150441
41.9,87.7,1672,2.5197368421052633
41.71,87.56,1027,1.5258033106134372
41.69,87.52,21,1.0476190476190477
41.69,87.61,1602,2.316479400749064
41.97,87.75,973,1.4090441932168551
41.97,87.79,342,1.1374269005847952
41.96,87.74,753,1.2563081009296149
41.95,87.72,1205,1.6439834024896265
41.74,87.66,1775,2.832112676056338
41.69,87.6,706,1.3895184135977336
41.86,87.65,1648,2.4757281553398056
41.69,87.67,1198,1.7612687813021703
41.73,87.62,1170,1.5803418803418803
41.71,87.57,976,1.4979508196721312
41.82,87.71,479,1.162839248434238
41.91,87.74,1463,2.325358851674641
41.89,87.67,1535,2.180456026058632
41.73,87.64,1424,1.9438202247191012
41.89,87.72,1860,3.5688172043010753
41.94,87.82,629,1.2972972972972974
41.77,87.59,1842,3.3756786102062977
41.8,87.73,1167,1.5646958011996572
41.67,87.54,141,1.1205673758865249
41.71,87.62,1676,2.4683770883054894
41.84,87.7,1163,1.645743766122098
41.97,87.77,1161,1.6847545219638242
41.8,87.61,1507,2.1333775713337757
41.94,87.77,1451,1.9827705031013094
41.7,87.72,268,1.1119402985074627
41.97,87.89,749,1.2923898531375166
41.69,87.65,1314,1.7876712328767124
41.77,87.62,1894,3.904963041182682
41.99,87.88,724,1.3756906077348066
41.72,87.53,426,1.1901408450704225
41.73,87.54,430,1.172093023255814
41.78,87.58,179,1.1955307262569832
41.73,87.73,33,1.0303030303030303
41.86,87.74,443,1.1715575620767493
41.77,87.77,37,1.0
41.81,87.65,805,1.448447204968944
41.83,87.6,141,1.0851063829787233
41.99,87.77,349,1.1318051575931232
41.83,87.71,97,1.1030927835051547
41.68,87.56,23,1.0
41.67,87.57,27,1.0
41.65,87.59,58,1.0
41.96,87.92,26,1.0
41.97,87.64,192,1.1822916666666667
42.0,87.92,8,1.0
41.67,87.6,5,1.0
41.99,87.92,9,1.0
42.0,87.93,9,1.0
41.68,87.7,4,1.0
41.97,87.83,24,1.0
41.73,87.71,1,1.0
41.67,87.58,19,1.0526315789473684
36.62,91.69,4,1.0
41.77,87.58,1983,5.32274331820474
41.7,87.65,1008,1.501984126984127
41.99,87.72,563,1.211367673179396
41.85,87.68,1643,2.262325015216068
41.7,87.63,1637,2.2956627978008552
41.88,87.68,1877,4.068193926478423
41.9,87.76,1788,3.065436241610738
41.65,87.53,488,1.1495901639344261
41.95,87.83,594,1.2558922558922558
41.89,87.74,1036,1.4604247104247103
41.73,87.74,83,1.0
41.93,87.75,1525,2.0504918032786885
41.81,87.64,1060,1.4924528301886792
41.76,87.64,1871,3.334045964724746
41.78,87.6,1775,2.771267605633803
41.82,87.61,1689,2.55595026642984
41.8,87.7,1480,2.097297297297297
41.84,87.64,1321,1.7948523845571536
41.66,87.55,718,1.298050139275766
41.77,87.74,537,1.2011173184357542
41.86,87.7,1397,2.075161059413028
41.87,87.63,1975,7.029367088607595
41.82,87.64,932,1.4860515021459229
41.96,87.76,1123,1.603739982190561
41.92,87.81,315,1.1015873015873017
41.83,87.73,232,1.0603448275862069
41.88,87.66,1740,3.12816091954023
42.0,87.82,483,1.2670807453416149
41.71,87.69,307,1.1172638436482085
41.72,87.61,905,1.4066298342541437
41.76,87.61,1863,3.4052603327965647
42.02,87.68,1674,2.827956989247312
41.74,87.7,931,1.443609022556391
41.74,87.68,404,1.1534653465346534
41.82,87.62,1885,3.8122015915119363
41.75,87.64,1788,3.088366890380313
41.96,87.73,1467,1.9359236537150648
41.77,87.66,1862,3.5483351235230933
41.8,87.65,1541,2.194678780012979
41.91,87.76,1802,2.9539400665926747
41.94,87.78,1141,1.5363716038562665
41.74,87.64,1523,2.1273801707156927
41.77,87.67,1807,3.0033204205866078
41.69,87.54,706,1.3342776203966005
42.0,87.81,607,1.2800658978583197
41.86,87.66,1811,3.252346769740475
41.82,87.67,1102,1.5344827586206897
41.66,87.62,605,1.246280991735537
41.95,87.64,939,1.4984025559105432
41.98,87.68,880,1.396590909090909
41.9,87.68,1673,2.5092647937836223
41.81,87.6,1870,3.307486631016043
41.9,87.64,1868,3.879014989293362
41.8,87.76,810,1.3407407407407408
41.93,87.65,1790,3.2569832402234637
41.72,87.59,725,1.2634482758620689
41.96,87.7,1074,1.5232774674115457
41.72,87.54,987,1.4620060790273557
41.81,87.59,1309,1.8326967150496563
41.71,87.72,176,1.0568181818181819
41.87,87.73,1888,3.6875
42.0,87.75,100,1.06
41.7,87.53,1123,1.5378450578806768
41.66,87.63,661,1.2435703479576399
41.91,87.8,426,1.1971830985915493
41.77,87.8,64,1.015625
41.87,87.66,1791,3.0949190396426576
41.73,87.68,313,1.1150159744408945
41.94,87.83,543,1.1915285451197053
42.0,87.79,481,1.1767151767151767
41.98,87.84,1178,1.632427843803056
